stage_id,stage_nr,variant_name,model_used,model_family,model_role,model_params_json,score_name,score_formula,view,position,rider,team,actual_rank,predicted_rank,score_topk_raw_sum,predicted_rank_bucket,fh_seq_class_label_0_5,is_cumulative_probability_monotonic,ensemble_pred_top10_native_0_5,ensemble_pred_top10_validated_threshold,validated_top10_threshold,p_top5_raw,p_top10_raw,p_top20_raw,actual_top5,actual_top10,actual_top20
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,1,Tadej Pogačar,UAE Team Emirates - XRG,1.0,1,2.877165973186493,top5,top5,False,1,1,2.1,0.9620031714439392,0.9516528844833374,0.9635099172592163,1,1,1
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,2,Jonas Vingegaard,Team Visma | Lease a Bike,2.0,2,2.852355122566223,top5,top5,True,1,1,2.1,0.9292523860931396,0.9415004849433899,0.9816022515296936,1,1,1
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,3,Aleksandr Vlasov,Red Bull - BORA - hansgrohe,34.0,3,2.7876622080802917,top5,top5,True,1,1,2.1,0.854938805103302,0.9547087550163269,0.9780146479606628,0,0,0
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,4,Matteo Jorgenson,Team Visma | Lease a Bike,15.0,4,2.7713640928268433,top5,top5,False,1,1,2.1,0.91847825050354,0.9279902577400208,0.9248955845832825,0,0,1
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,5,Ben O'Connor,Team Jayco AlUla,16.0,5,2.746555805206299,top5,top5,True,1,1,2.1,0.8865274786949158,0.9070685505867004,0.9529597759246826,0,0,1
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,6,Marc Hirschi,Tudor Pro Cycling Team,57.0,6,2.7129055857658386,rank_6_10,top5,False,1,1,2.1,0.921478807926178,0.8896951675415039,0.9017316102981567,0,0,0
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,7,Remco Evenepoel,Soudal Quick-Step,7.0,7,2.692184090614319,rank_6_10,top5,False,1,1,2.1,0.934656023979187,0.8747816681861877,0.8827463984489441,0,1,1
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,8,Adam Yates,UAE Team Emirates - XRG,23.0,8,2.6702133417129517,rank_6_10,top5,True,1,1,2.1,0.8068164587020874,0.9016485214233398,0.9617483615875244,0,0,0
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,9,Carlos Rodríguez,INEOS Grenadiers,22.0,9,2.643870532512665,rank_6_10,top5,True,1,1,2.1,0.7918895483016968,0.889927864074707,0.962053120136261,0,0,0
tour-de-france_2025_ST12,12,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,predicted_top20_by_score_topk_raw_sum,10,Enric Mas,Movistar Team,33.0,10,2.6279916167259216,rank_6_10,top5,True,1,1,2.1,0.7281763553619385,0.9210324883460999,0.9787827730178833,0,0,0
